cell_budget,policy,probe_used,mean_uplift_vs_random,ci95_low,ci95_high,n_tissues
100,fixed_probe::coexpression,coexpression,0.0068000000000000005,0.004600000000000001,0.009014285714285714,3
100,source_best::immune,coexpression,0.0068000000000000005,0.004600000000000001,0.009014285714285714,3
100,source_best::lung,coexpression,0.0068000000000000005,0.004600000000000001,0.009014285714285714,3
100,fixed_probe::coexpression_signed,coexpression_signed,0.004533333333333334,-0.00018571428571428558,0.009685714285714287,3
100,source_best::kidney,coexpression_signed,0.004533333333333334,-0.00018571428571428558,0.009685714285714287,3
30,fixed_probe::coexpression,coexpression,0.004785714285714286,-0.000214285714285712,0.00807142857142857,3
30,source_best::lung,coexpression,0.004785714285714286,-0.000214285714285712,0.00807142857142857,3
30,source_best::immune,grad_input,0.0013523809523809532,-0.009000000000000001,0.01658571428571429,3
30,fixed_probe::coexpression_signed,coexpression_signed,0.000685714285714286,-0.004014285714285713,0.008200000000000002,3
30,source_best::kidney,coexpression_signed,0.000685714285714286,-0.004014285714285713,0.008200000000000002,3
