weight_scheme,cell_budget,weighted_mean_relative_regret,delta_30_minus_100
celltype_entropy,100,0.07976510365282782,0.31796919711157434
celltype_entropy,30,0.39773430076440214,0.31796919711157434
combined_diversity,100,0.07553788728861797,0.3405050464241288
combined_diversity,30,0.4160429337127468,0.3405050464241288
donor_diversity,100,0.07312920085051007,0.3752930851951892
donor_diversity,30,0.4484222860456993,0.3752930851951892
sample_diversity,100,0.07380348994716024,0.3360821999314859
sample_diversity,30,0.40988568987864615,0.3360821999314859
uniform,100,0.07675110297985037,0.3025612554108979
uniform,30,0.3793123583907483,0.3025612554108979
