sweep_file,fixed_percentile,fixed_threshold,fixed_f1,best_percentile,best_percentile_f1,delta_best_minus_fixed_f1
sweep_results_omnipath.json,90,0.0023283407263019204,0.000733317037399169,80.0,0.0012252274328422212,0.0004919103954430522
sweep_results_omnipath.json,95,0.002504215167807619,0.0009729992702505473,80.0,0.0012252274328422212,0.0002522281625916739
sweep_results_omnipath_dorothea_intersection_immune_hpn.json,90,0.00415644575531284,0.03875748076375036,80.0,0.043518806341311785,0.004761325577561426
sweep_results_omnipath_dorothea_intersection_immune_hpn.json,95,0.004725839852383638,0.04105571847507331,80.0,0.043518806341311785,0.0024630878662384725
sweep_results_omnipath_dorothea_union_immune_hpn.json,90,0.0038984513043292934,0.0026180394299503713,95.0,0.002933742552807366,0.0003157031228569946
sweep_results_omnipath_dorothea_union_immune_hpn.json,95,0.004537885190769173,0.002933742552807366,95.0,0.002933742552807366,0.0
sweep_results_omnipath_dorothea_union_immune_hpn_scaled.json,90,0.004016495558122794,0.0025725083094294953,80.0,0.0027667735647362132,0.00019426525530671793
sweep_results_omnipath_dorothea_union_immune_hpn_scaled.json,95,0.00463778052529295,0.0026629355479328397,80.0,0.0027667735647362132,0.00010383801680337356
sweep_results_omnipath_dorothea_union_immune_hpn_scaled_1200x420.json,90,0.003979594266462711,0.002299321586304239,94.0,0.002527348170501698,0.00022802658419745873
sweep_results_omnipath_dorothea_union_immune_hpn_scaled_1200x420.json,95,0.004643213582335052,0.002482397544683156,94.0,0.002527348170501698,4.495062581854172e-05
sweep_results_omnipath_intercell_moderate_immune_hpn.json,90,0.003391834418289364,0.0,80.0,0.0,0.0
sweep_results_omnipath_intercell_moderate_immune_hpn.json,95,0.004225694541154162,0.0,80.0,0.0,0.0
sweep_results_omnipath_intercell_relaxed_immune_hpn.json,90,0.0037181907563760717,0.0017732243128755789,90.0,0.0017732243128755789,0.0
sweep_results_omnipath_intercell_relaxed_immune_hpn.json,95,0.004448213403423626,0.001177740700755717,90.0,0.0017732243128755789,0.0005954836121198619
sweep_results_omnipath_intercell_strict_immune_hpn.json,90,0.003293644605825345,0.0,80.0,0.0,0.0
sweep_results_omnipath_intercell_strict_immune_hpn.json,95,0.004200925460706153,0.0,80.0,0.0,0.0
sweep_results_omnipath_intercell_union_immune_hpn.json,90,0.0038370244825879727,0.002315318929451544,95.0,0.002459072383250985,0.00014375345379944067
sweep_results_omnipath_intercell_union_immune_hpn.json,95,0.004492383522401545,0.002459072383250985,95.0,0.002459072383250985,0.0
sweep_results_omnipath_intercell_union_sources_immune_hpn.json,90,0.0039132608949918974,0.002386444992442924,95.0,0.0026312327325351925,0.0002447877400922685
sweep_results_omnipath_intercell_union_sources_immune_hpn.json,95,0.004558530860176345,0.0026312327325351925,95.0,0.0026312327325351925,0.0
sweep_results_omnipath_intercell_union_sources_relaxed_immune_hpn.json,90,0.0037688545575217613,0.001990759869285956,85.0,0.0020194798271525967,2.8719957866640573e-05
sweep_results_omnipath_intercell_union_sources_relaxed_immune_hpn.json,95,0.00444963583616152,0.0020172587694721506,85.0,0.0020194798271525967,2.2210576804460903e-06
sweep_results_omnipath_intercell_union_targets_immune_hpn.json,90,0.0038800982758402823,0.0024336088914535168,95.0,0.0026397708878097377,0.0002061619963562209
sweep_results_omnipath_intercell_union_targets_immune_hpn.json,95,0.004530807239934802,0.0026397708878097377,95.0,0.0026397708878097377,0.0
sweep_results_omnipath_relaxed.json,90,0.0023619275668571734,0.000669540109637193,80.0,0.0009436534065887979,0.0002741132969516049
sweep_results_omnipath_relaxed.json,95,0.002644680529727779,0.0006665555740709882,80.0,0.0009436534065887979,0.0002770978325178097
sweep_results_omnipath_relaxed_immune_hpn.json,90,0.00395439948886633,0.0025664920026275987,94.0,0.002835084166561195,0.0002685921639335961
sweep_results_omnipath_relaxed_immune_hpn.json,95,0.004594229737466031,0.002786443347366508,94.0,0.002835084166561195,4.864081919468688e-05
