sweep_file,candidate_edges,candidate_aupr,best_percentile,best_percentile_threshold,best_percentile_f1,best_top_k,best_top_k_f1
sweep_results_omnipath.json,162835,0.0005174990749955014,80.0,0.0021508609912852103,0.0012252274328422212,100,0.0011972633979475482
sweep_results_omnipath_dorothea_intersection_immune_hpn.json,29253,0.02512358770933531,80.0,0.0034718017356517995,0.043518806341311785,150,0.03876779538325424
sweep_results_omnipath_dorothea_union_immune_hpn.json,870806,0.001279279859180096,95.0,0.004537885190769173,0.002933742552807366,100,0.0018594579327064528
sweep_results_omnipath_dorothea_union_immune_hpn_scaled.json,870806,0.00126760557782255,80.0,0.0032702247435982164,0.0027667735647362132,50,0.0018194117235427213
sweep_results_omnipath_dorothea_union_immune_hpn_scaled_1200x420.json,870806,0.0012293320152010595,94.0,0.00447339732199907,0.002527348170501698,25,0.0021997158700334542
sweep_results_omnipath_intercell_moderate_immune_hpn.json,64942,4.156432228319076e-05,80.0,0.002573181167244912,0.0,150,9.803200745043256e-05
sweep_results_omnipath_intercell_relaxed_immune_hpn.json,202258,0.0006372654133718941,90.0,0.0037181907563760717,0.0017732243128755789,100,0.0008094253080312977
sweep_results_omnipath_intercell_strict_immune_hpn.json,42197,6.326273214651508e-05,80.0,0.002453182637691498,0.0,150,0.00013006861119240398
sweep_results_omnipath_intercell_union_immune_hpn.json,866520,0.001100039688360039,95.0,0.004492383522401545,0.002459072383250985,25,0.0016022787965105929
sweep_results_omnipath_intercell_union_sources_immune_hpn.json,748424,0.0011557259747642294,95.0,0.004558530860176345,0.0026312327325351925,100,0.0016121158452822907
sweep_results_omnipath_intercell_union_sources_relaxed_immune_hpn.json,1059089,0.0009394119631710232,85.0,0.0033032037814458206,0.0020194798271525967,25,0.0011416611169251262
sweep_results_omnipath_intercell_union_targets_immune_hpn.json,791235,0.0011631927628273973,95.0,0.004530807239934802,0.0026397708878097377,25,0.001750291715285881
sweep_results_omnipath_relaxed.json,475801,0.00046574419923679555,80.0,0.002126317189899456,0.0009436534065887979,150,0.0007662590594170047
sweep_results_omnipath_relaxed_immune_hpn.json,648849,0.001304961845132031,94.0,0.004431997099684344,0.002835084166561195,100,0.0018347701510543644
